ds,y,type
2014-01-01,0.0,actual
2014-01-02,70.0,actual
2014-01-03,59.0,actual
2014-01-04,93.0,actual
2014-01-05,96.0,actual
2014-01-06,145.0,actual
2014-01-07,179.0,actual
2014-01-08,321.0,actual
2014-01-09,125.0,actual
2014-01-10,88.0,actual
2014-01-11,188.0,actual
2014-01-12,121.0,actual
2014-01-13,134.0,actual
2014-01-14,80.0,actual
2014-01-15,82.0,actual
2014-01-16,94.0,actual
2014-01-18,159.0,actual
2014-01-19,199.0,actual
2014-01-20,104.0,actual
2014-01-21,70.0,actual
2014-01-22,127.0,actual
2014-01-23,96.0,actual
2014-01-24,75.0,actual
2014-01-25,198.0,actual
2014-01-26,168.0,actual
2014-01-27,125.0,actual
2014-01-28,86.0,actual
2014-01-29,222.0,actual
2014-01-30,272.0,actual
2014-01-31,209.0,actual
2014-02-01,369.0,actual
2014-02-02,217.0,actual
2014-02-03,97.0,actual
2014-02-04,117.0,actual
2014-02-05,100.0,actual
2014-02-06,64.0,actual
2014-02-07,35.0,actual
2014-02-08,54.0,actual
2014-02-09,55.0,actual
2014-02-12,8.0,actual
2014-02-13,43.0,actual
2014-02-14,107.0,actual
2014-02-15,116.0,actual
2014-02-16,87.0,actual
2014-02-17,66.0,actual
2014-02-18,44.0,actual
2014-02-19,33.0,actual
2014-02-20,13.0,actual
2014-02-21,53.0,actual
2014-02-22,72.0,actual
2014-02-23,50.0,actual
2014-02-24,15.0,actual
2014-02-25,12.0,actual
2014-02-26,71.0,actual
2014-02-27,37.0,actual
2014-02-28,83.0,actual
2014-03-01,94.0,actual
2014-03-02,59.0,actual
2014-03-03,49.0,actual
2014-03-05,65.0,actual
2014-03-06,55.0,actual
2014-03-07,77.0,actual
2014-03-08,122.0,actual
2014-03-09,83.0,actual
2014-03-10,75.0,actual
2014-03-11,48.0,actual
2014-03-12,45.0,actual
2014-03-13,78.0,actual
2014-03-14,122.0,actual
2014-03-16,116.0,actual
2014-03-17,48.0,actual
2014-03-18,29.0,actual
2014-03-19,91.0,actual
2014-03-20,59.0,actual
2014-03-21,68.0,actual
2014-03-22,137.0,actual
2014-03-23,56.0,actual
2014-03-24,13.0,actual
2014-03-25,45.0,actual
2014-03-26,25.0,actual
2014-03-27,25.0,actual
2014-03-28,174.0,actual
2014-03-29,138.0,actual
2014-03-30,64.0,actual
2014-03-31,77.0,actual
2014-04-01,62.0,actual
2014-04-02,119.0,actual
2014-04-03,89.0,actual
2014-04-04,133.0,actual
2014-04-05,180.0,actual
2014-04-06,121.0,actual
2014-04-07,72.0,actual
2014-04-08,91.0,actual
2014-04-09,53.0,actual
2014-04-10,47.0,actual
2014-04-11,42.0,actual
2014-04-12,124.0,actual
2014-04-13,97.0,actual
2014-04-14,119.0,actual
2014-04-15,34.0,actual
2014-04-16,18.0,actual
2014-04-17,24.0,actual
2014-04-18,57.0,actual
2014-04-19,61.0,actual
2014-04-20,30.0,actual
2014-04-21,96.0,actual
2014-04-22,0.0,actual
2014-04-23,37.0,actual
2014-04-24,30.0,actual
2014-04-25,38.0,actual
2014-04-26,88.0,actual
2014-04-27,64.0,actual
2014-04-28,13.0,actual
2014-04-29,20.0,actual
2014-04-30,31.0,actual
2014-05-01,129.0,actual
2014-05-02,94.0,actual
2014-05-03,129.0,actual
2014-05-04,126.0,actual
2014-05-05,70.0,actual
2014-05-06,48.0,actual
2014-05-07,123.0,actual
2014-05-08,87.0,actual
2014-05-09,65.0,actual
2014-05-10,102.0,actual
2014-05-11,78.0,actual
2014-05-12,49.0,actual
2014-05-13,0.0,actual
2014-05-14,68.0,actual
2014-05-15,102.0,actual
2014-05-16,88.0,actual
2014-05-17,170.0,actual
2014-05-18,152.0,actual
2014-05-19,90.0,actual
2014-05-20,101.0,actual
2014-05-21,71.0,actual
2014-05-22,48.0,actual
2014-05-23,40.0,actual
2014-05-24,93.0,actual
2014-05-25,45.0,actual
2014-05-26,58.0,actual
2014-05-27,53.0,actual
2014-05-28,42.0,actual
2014-05-29,52.0,actual
2014-05-30,29.0,actual
2014-05-31,91.0,actual
2014-06-01,75.0,actual
2014-06-02,75.0,actual
2014-06-03,179.0,actual
2014-06-04,252.0,actual
2014-06-05,202.0,actual
2014-06-06,161.0,actual
2014-06-07,331.0,actual
2014-06-08,271.0,actual
2014-06-09,146.0,actual
2014-06-10,2.0,actual
2014-06-11,2.0,actual
2014-06-12,0.0,actual
2014-06-13,0.0,actual
2014-06-14,0.0,actual
2014-06-15,13.0,actual
2014-06-16,30.0,actual
2014-06-17,34.0,actual
2014-06-18,8.0,actual
2014-06-19,67.0,actual
2014-06-20,41.0,actual
2014-06-21,89.0,actual
2014-06-22,49.0,actual
2014-06-23,62.0,actual
2014-06-24,81.0,actual
2014-06-25,42.0,actual
2014-06-26,63.0,actual
2014-06-27,107.0,actual
2014-06-28,83.0,actual
2014-06-29,102.0,actual
2014-06-30,62.0,actual
2014-07-01,29.0,actual
2014-07-02,63.0,actual
2014-07-03,97.0,actual
2014-07-04,136.0,actual
2014-07-05,335.0,actual
2014-07-06,299.0,actual
2014-07-07,5.0,actual
2014-07-08,2.0,actual
2014-07-09,9.0,actual
2014-07-10,9.0,actual
2014-07-11,0.0,actual
2014-07-12,0.0,actual
2014-07-13,0.0,actual
2014-07-14,0.0,actual
2014-07-15,0.0,actual
2014-07-16,0.0,actual
2014-07-17,0.0,actual
2014-07-18,0.0,actual
2014-07-19,0.0,actual
2014-07-20,0.0,actual
2014-07-21,0.0,actual
2014-07-22,2.0,actual
2014-07-23,0.0,actual
2014-07-24,0.0,actual
2014-07-25,15.0,actual
2014-07-26,9.0,actual
2014-07-27,13.0,actual
2014-07-28,15.0,actual
2014-07-29,26.0,actual
2014-07-30,16.0,actual
2014-07-31,51.0,actual
2014-08-01,47.0,actual
2014-08-02,56.0,actual
2014-08-03,45.0,actual
2014-08-04,40.0,actual
2014-08-05,17.0,actual
2014-08-06,103.0,actual
2014-08-07,72.0,actual
2014-08-08,56.0,actual
2014-08-09,0.0,actual
2014-08-10,1.0,actual
2014-08-11,0.0,actual
2014-08-12,0.0,actual
2014-08-13,0.0,actual
2014-08-14,0.0,actual
2014-08-15,0.0,actual
2014-08-16,0.0,actual
2014-08-17,0.0,actual
2014-08-18,0.0,actual
2014-08-19,0.0,actual
2014-08-20,68.0,actual
2014-08-21,169.0,actual
2014-08-22,213.0,actual
2014-08-23,338.0,actual
2014-08-24,129.0,actual
2014-08-26,13.0,actual
2014-08-27,85.0,actual
2014-08-28,0.0,actual
2014-08-29,0.0,actual
2014-08-30,0.0,actual
2014-08-31,0.0,actual
2014-09-01,0.0,actual
2014-09-02,0.0,actual
2014-09-03,0.0,actual
2014-09-04,0.0,actual
2014-09-05,0.0,actual
2014-09-06,0.0,actual
2014-09-07,0.0,actual
2014-09-08,64.0,actual
2014-09-09,154.0,actual
2014-09-10,143.0,actual
2014-09-11,96.0,actual
2014-09-12,140.0,actual
2014-09-13,67.0,actual
2014-09-14,3.0,actual
2014-09-15,71.0,actual
2014-09-16,58.0,actual
2014-09-17,62.0,actual
2014-09-18,62.0,actual
2014-09-19,62.0,actual
2014-09-20,168.0,actual
2014-09-21,99.0,actual
2014-09-22,39.0,actual
2014-09-23,64.0,actual
2014-09-24,117.0,actual
2014-09-25,104.0,actual
2014-09-26,108.0,actual
2014-09-27,234.0,actual
2014-09-28,97.0,actual
2014-09-29,85.0,actual
2014-09-30,88.0,actual
2014-10-01,190.0,actual
2014-10-02,163.0,actual
2014-10-03,90.0,actual
2014-10-04,105.0,actual
2014-10-05,47.0,actual
2014-10-06,66.0,actual
2014-10-07,84.0,actual
2014-10-08,80.0,actual
2014-10-09,97.0,actual
2014-10-10,64.0,actual
2014-10-11,128.0,actual
2014-10-12,85.0,actual
2014-10-13,50.0,actual
2014-10-14,91.0,actual
2014-10-15,93.0,actual
2014-10-16,50.0,actual
2014-10-17,85.0,actual
2014-10-18,129.0,actual
2014-10-19,119.0,actual
2014-10-20,45.0,actual
2014-10-21,78.0,actual
2014-10-22,90.0,actual
2014-10-23,78.0,actual
2014-10-24,62.0,actual
2014-10-25,97.0,actual
2014-10-26,111.0,actual
2014-10-27,55.0,actual
2014-10-28,60.0,actual
2014-10-29,61.0,actual
2014-10-30,81.0,actual
2014-10-31,131.0,actual
2014-11-01,160.0,actual
2014-11-02,131.0,actual
2014-11-03,43.0,actual
2014-11-04,34.0,actual
2014-11-05,33.0,actual
2014-11-06,37.0,actual
2014-11-07,82.0,actual
2014-11-08,542.0,actual
2014-11-09,239.0,actual
2014-11-10,51.0,actual
